Raonament:

Analicem la situació:

* Si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, no hi ha sobres.
* Si el ramader divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, no hi ha sobres.

Aquestes condicions suggeren que el nombre d'ovelles és un múltiplicador de 15 i 16, però no un múltiplicador de 15 i 16 més que 1.

El menor comú múltiplicador (LCM) de 15 i 16 és 120. Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, no hi ha sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, no hi ha sobres. Això significa que el nombre d'ovelles és un múltiplicador de 120, però no un múltiplicador de 120 més que 1.

El següent múltiplicador de 120 és 240, que és el menor múltiplicador que satisfà les condicions. Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

El següent múltiplicador de 120 és 360, que és el menor múltiplicador que satisfà les condicions. Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

El següent múltiplicador de 120 és 480, que és el menor múltiplicador que satisfà les condicions. Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres. Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres. Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres. Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 ovelles en cadascun, hi hauria sobres, i si divideix el ramat en corrals amb capacitat de 16 ovelles en cadascun, hi hauria sobres.

Però, si el ramader divideix el ramat en corrals amb capacitat de 15 o
