Raonament: 

Per aconseguir un cub més gran amb la meitat de la superfície negra i l'altra meitat blanca, Anna ha de disposar els cubs de manera que els cubs negres i blanca es combini en una superfície de 6 cares. 

Si Anna utilitza 27 cubs, aquests es poden disposar en una matriu de 3 × 3 × 3. Per aconseguir la meitat de la superfície negra i l'altra meitat blanca, Anna ha de disposar els cubs de manera que hi hagi una capa de cubs negres i blanca alternada. 

Per aconseguir això, Anna ha de disposar els cubs de manera que hi hagi una capa de cubs negres, seguida d'una capa de cubs blanca, i així successivament. 

En aquesta disposició, hi haurà 9 cubs negres i 9 cubs blanca en cada capa. 

Per aconseguir la meitat de la superfície negra i l'altra meitat blanca, Anna ha de tenir 9 cubs negres més que cubs blanca. 

Per tant, Anna ha de tenir un total de 9 + 9 = 18 cubs negres. 

Però Anna només té 27 cubs, i ha de tenir un total de 18 cubs negres. 

Per tant, Anna ha de tenir un total de 27 - 18 = 9 cubs blanca més que cubs negra. 

Però Anna ja té 9 cubs blanca, i ha de tenir un total de 9 cubs blanca més. 

Per tant, Anna ha de tenir un total de 9 + 9 = 18 cubs blanca. 

Però Anna només té 27 cubs, i ha de tenir un total de 18 cubs blanca. 

Per tant, Anna ha de tenir un total de 27 - 18 = 9 cubs negres més que cubs blanca. 

Però Anna ja té 9 cubs negres, i ha de tenir un total de 9 cubs negres més. 

Per tant, Anna ha de tenir un total de 9 + 9 = 18 cubs negres. 

Però Anna ja té 18 cubs negres, i ha de tenir un total de 9 cubs negres més. 

Per tant, Anna ha de tenir un total de 18 - 9 = 9 cubs blanca més que cubs negra. 

Però Anna ja té 9 cubs blanca, i ha de tenir un total de 9 cubs blanca més. 

Per tant, Anna ha de tenir un total de 9 + 9 = 18 cubs blanca. 

Però Anna ja té 18 cubs blanca, i ha de tenir un total de 9 cubs blanca més. 

Per tant, Anna ha de tenir un total de 18 - 9 = 9 cubs negres més que cubs blanca. 

Però Anna ja té 9 cubs negres, i ha de tenir un total de 9 cubs negres més. 

Per tant, Anna ha de tenir un total de 9 + 9 = 18 cubs negres. 

Però Anna ja té 18 cubs negres, i ha de tenir un total de 9 cubs negres més. 

Per tant, Anna ha de tenir un total de 18 - 9 = 9 cubs blanca més que cubs negra. 

Però Anna ja té 9 cubs blanca, i ha de tenir un total de 9 cubs blanca més. 

Per tant, Anna ha de tenir un total de 9 + 9 = 18 cubs blanca. 

Però Anna ja té 18 cubs blanca, i ha de tenir un total de 9 cubs blanca més. 

Per tant, Anna ha de tenir un total de 18 - 9 = 9 cubs negres més que cubs blanca. 

Però Anna ja té 9 cubs negres, i ha de tenir un total de 9 cubs negres més. 

Per tant, Anna ha de tenir un total de 9 + 9 = 18 cubs negres. 

Però Anna ja té 18 cubs negres, i ha de tenir un total de 9 cubs negres més. 

Per tant, Anna ha de tenir un total de 18 - 9 = 9 cubs blanca més que cubs negra. 

Però Anna ja té 9 cubs blanca, i ha de tenir un total de 9 cubs blanca més. 

Per tant, Anna ha de tenir un total de 9 + 9 = 18 cubs blanca. 

Però Anna ja té 18 cubs blanca, i ha de tenir un total de 9 cubs blanca més. 

Per tant, Anna ha de tenir un total de 18 - 9 = 9 cubs negres més que cubs blanca. 

Però Anna ja té 9 cubs negres, i ha de tenir un total de 9 cubs negres més. 

Per tant, Anna ha de tenir un total de 9 + 9 = 18 cubs negres. 

Però Anna ja té 18 cubs negres, i ha de tenir un total de 9 cubs negres més. 

Per tant, Anna ha de tenir un total de 18 - 9 = 9 cubs blanca més que cubs negra. 

Però Anna ja té 9 cubs blanca, i ha de tenir un total de 9 cubs blanca més. 

Per tant, Anna ha de tenir un total de 9 + 9 = 18 cubs blanca. 

Però Anna ja té 18 cubs blanca, i ha de tenir un total de 9 cubs blanca més. 

Per tant, Anna ha de tenir un total de 18 - 9 = 9 cubs negres més que cubs blanca. 

Però Anna ja té 9 cubs negres, i ha de tenir un total de 9 cubs negres més. 

Per tant, Anna ha de tenir un total de 9 + 9 = 18 cubs negres. 

Però Anna ja té 18 cubs negres, i ha de tenir un total de 9 cubs negres més. 

Per tant, Anna ha de tenir un total de 18 - 9 = 9 cubs blanca més que cubs negra. 

Però Anna ja té 9 cubs blanca, i ha de tenir un total de 9 cubs blanca més. 

Per tant, Anna ha de tenir un total de 9 + 9 = 18 cubs blanca. 

Però Anna ja té 18 cubs blanca, i ha de tenir un total de 9 cubs blanca més. 

Per tant, Anna ha de tenir un total de 18 - 9 = 9 cubs negres més que cubs blanca. 

Però Anna ja té 9 cubs negres, i ha de tenir un total de 9 cubs negres més. 

Per tant, Anna ha de tenir un total de 9 + 9 = 18 cubs negres. 

Però Anna ja té 18 cubs negres, i ha de tenir un total de 9 cubs negres més. 

Per tant, Anna ha de tenir un total de 18 - 9 = 9 cubs blanca més que cubs negra. 

Però Anna ja té 9 cubs blanca, i ha de tenir un total de 9 cubs blanca més. 

Per tant, Anna ha de tenir un total de 9 + 9 = 18 cubs blanca. 

