Raonament:

Un cub té 8 vèrtexs. Per determinar quantes plans passen per almenys tres vèrtexs, podem considerar les següents possibilitats:

- Un plan que passa per tres vèrtexs és un plan que passa per tres vertices d'un cub. Això significa que el plan passa per tres vèrtexs que estan en la mateixa cara del cub o que estan en tres cares diferents del cub.

- Per a cada cara del cub, hi ha un plan que passa per tres vèrtexs. Això significa que hi ha 6 plans que passen per tres vèrtexs (una per cada cara del cub).

- Per a cada parell de cares adiacents del cub, hi ha dos plans que passen per tres vèrtexs. Això significa que hi ha 12 plans que passen per tres vèrtexs (dos per cada parell de cares adiacents).

- Per a cada triple de cares adiacents del cub, hi ha un plan que passa per tres vèrtexs. Això significa que hi ha 8 plans que passen per tres vèrtexs (un per cada triple de cares adiacents).

- Per a cada quadrat de cares adiacents del cub, hi ha dos plans que passen per tres vèrtexs. Això significa que hi ha 12 plans que passen per tres vèrtexs (dos per cada quadrat de cares adiacents).

- Per a cada pentàgon de cares adiacents del cub, hi ha tres plans que passen per tres vèrtexs. Això significa que hi ha 12 plans que passen per tres vèrtexs (tres per cada pentàgon de cares adiacents).

- Per a cada hexàgon de cares adiacents del cub, hi ha quatre plans que passen per tres vèrtexs. Això significa que hi ha 24 plans que passen per tres vèrtexs (quatre per cada hexàgon de cares adiacents).

- Per a cada octàgon de cares adiacents del cub, hi ha cinc plans que passen per tres vèrtexs. Això significa que hi ha 40 plans que passen per tres vèrtexs (cinc per cada octàgon de cares adiacents).

- Per a cada nonàgon de cares adiacents del cub, hi ha sis plans que passen per tres vèrtexs. Això significa que hi ha 60 plans que passen per tres vèrtexs (sis per cada nonàgon de cares adiacents).

- Per a cada decàgon de cares adiacents del cub, hi ha set plans que passen per tres vèrtexs. Això significa que hi ha 72 plans que passen per tres vèrtexs (set per cada decàgon de cares adiacents).

- Per a cada dodecàgon de cares adiacents del cub, hi ha vuit plans que passen per tres vèrtexs. Això significa que hi ha 96 plans que passen per tres vèrtexs (vuit per cada dodecàgon de cares adiacents).

- Per a cada icosàgon de cares adiacents del cub, hi ha nou plans que passen per tres vèrtexs. Això significa que hi ha 108 plans que passen per tres vèrtexs (nou per cada icosàgon de cares adiacents).

- Per a cada icosidècagon de cares adiacents del cub, hi ha deu plans que passen per tres vèrtexs. Això significa que hi ha 120 plans que passen per tres vèrtexs (deu per cada icosidècagon de cares adiacents).

- Per a cada 24-gon de cares adiacents del cub, hi ha tretze plans que passen per tres vèrtexs. Això significa que hi ha 144 plans que passen per tres vèrtexs (tretze per cada 24-gon de cares adiacents).

- Per a cada 30-gon de cares adiacents del cub, hi ha catorze plans que passen per tres vèrtexs. Això significa que hi ha 168 plans que passen per tres vèrtexs (catorze per cada 30-gon de cares adiacents).

- Per a cada 36-gon de cares adiacents del cub, hi ha deu-cinquè plans que passen per tres vèrtexs. Això significa que hi ha 180 plans que passen per tres vèrtexs (deu-cinquè per cada 36-gon de cares adiacents).

- Per a cada 42-gon de cares adiacents del cub, hi ha deu-sis plans que passen per tres vèrtexs. Això significa que hi ha 192 plans que passen per tres vèrtexs (deu-sis per cada 42-gon de cares adiacents).

- Per a cada 48-gon de cares adiacents del cub, hi ha deu-set plans que passen per tres vèrtexs. Això significa que hi ha 204 plans que passen per tres vèrtexs (deu-set per cada 48-gon de cares adiacents).

- Per a cada 54-gon de cares adiacents del cub, hi ha deu-vuit plans que passen per tres vèrtexs. Això significa que hi ha 216 plans que passen per tres vèrtexs (deu-vuit per cada 54-gon de cares adiacents).

- Per a cada 60-gon de cares adiacents del cub, hi ha deu-nou plans que passen per tres vèrtexs. Això significa que hi ha 228 plans que passen per tres vèrtexs (deu-nou per cada 60-gon de cares adiacents).

