Raonament:

Per determinar l'any següent a 2018 en el qual la suma de les seues xifres és 11, hem de considerar les següents possibilitats:

- Si sumem les xifres de 2018, obtenim: 2+0+1+8 = 11. Això indica que l'any següent ha de tenir les mateixes xifres o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 8. Per a l'any següent, les xifres han de ser 2, 0, 1 i 8, o una combinació que sumi 11.

- Per a 2018, les xifres són 2, 0, 1 i 
