## Raonament:

1. **Múltiples de 3:**  Per a que a + 3b + c sigui múltiple de 3, la suma de a, 3b i c ha d'estar divisible per 3. 
2. **Divisibilitat per 3:**  Per a que un nombre sigui divisible per 3, la suma de tots els seus dígits ha d'estar divisible per 3.
3. **Combinacions:**  Per a cada valor de a, hi ha una infinitat de possibles combinacions de b i c que donen un resultat múltiple de 3. 
4. **Càlcul:**  Per a cada valor de a, cal calcular quantes combinacions de b i c són possibles. 

**En resum:**  Cal calcular quantes combinacions de b i c són possibles per a cada valor de a. 

**Nota:**  No es pot calcular el nombre exacte de combinacions de b i c per a cada valor de a, però sí que es pot calcular el nombre de combinacions de b i c que són possibles per a un valor de a.


## Resposta:

**E) 990** 
 
**Explicació:**

* **Valor de a:**  A cada valor de a, hi ha 100 combinacions possibles de b i c. 
* **Combinacions de b i c:**  Per a cada valor de a, hi ha 100 combinacions possibles de b i c. 
* **Total:**  Per tant, hi ha 100 * 100 = 9900 combinacions possibles. 



