Raonament:

Per calcular quantes cares consecutives cal obtenir per aconseguir el 50% del total de cares, primer hem de calcular el total de cares que volem obtenir. El 50% del total de cares que hem obtingut fins a present és:

(50/100) * 56 = 28 cares

Ara, hem de calcular quantes cares consecutives cal obtenir per aconseguir aquest total. Hem obtingut 56 cares fins a present, i volem obtenir 28 cares més. Per aconseguir aquest total, cal obtenir:

28 cares / 0,5 (quantitat de cares que obtenim per llançament) = 56 cares

Això significa que cal obtenir 56 cares per llançament. Per aconseguir aquest total, cal llançar la moneda 56 vegades més. Però, hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant, cal llançar la moneda 56 vegades més per aconseguir les 28 cares que volem.

Per aconseguir les 28 cares, cal llançar la moneda 56 vegades més, però hem de considerar que ja hem obtingut 56 cares, per tant
