Raonament:
Primer, identifiquem els nombres de dues xifres que són múltiples de 3. Aquests són els nombres entre 10 i 99 que la suma de les seves xifres és divisible per 3.
Després, hem de trobar quins d'aquests nombres compleixen que el valor absolut de la diferència entre les seves xifres és 3.

Comencem a provar amb els múltiples de 3:
- 12: |1-2| = 1 (no compleix)
- 15: |1-5| = 4 (no compleix)
- 18: |1-8| = 7 (no compleix)
- 21: |2-1| = 1 (no compleix)
- 24: |2-4| = 2 (no compleix)
- 27: |2-7| = 5 (no compleix)
- 30: |3-0| = 3 (compleix)
- 33: |3-3| = 0 (no compleix)
- 36: |3-6| = 3 (compleix)
- 39: |3-9| = 6 (no compleix)
- 42: |4-2| = 2 (no compleix)
- 45: |4-5| = 1 (no compleix)
- 48: |4-8| = 4 (no compleix)
- 51: |5-1| = 4 (no compleix)
- 54: |5-4| = 1 (no compleix)
- 57: |5-7| = 2 (no compleix)
- 60: |6-0| = 6 (no compleix)
- 63: |6-3| = 3 (compleix)
- 66: |6-6| = 0 (no compleix)
- 69: |6-9| = 3 (compleix)
- 72: |7-2| = 5 (no compleix)
- 75: |7-5| = 2 (no compleix)
- 78: |7-8| = 1 (no compleix)
- 81: |8-1| = 7 (no compleix)
- 84: |8-4| = 4 (no compleix)
- 87: |8-7| = 1 (no compleix)
- 90: |9-0| = 9 (no compleix)
- 93: |9-3| = 6 (no compleix)
- 96: |9-6| = 3 (compleix)
- 99: |9-9| = 0 (no compleix)

Els nombres que compleixen les dues condicions són: 30, 36, 63, 69 i 96. Per tant, hi ha 5 nombres.

Resposta: D)
