Raonament:

Per això, podem considerar tres casos:

1. Si dos dels nombres primers són 2, llavors el tercer nombre ha de ser 11, ja que 2*2*11 = 44 i 2+2+11 = 15. Però 44 no és cinc vegades més gran que 15, per tant, no existeix cap grup de nombres primers especialment amics amb 2 com un dels nombres primers.

2. Si dos dels nombres primers són 3, llavors el tercer nombre ha de ser 37, ja que 3*3*37 = 333 i 3+3+37 = 43. Però 333 no és cinc vegades més gran que 43, per tant, no existeix cap grup de nombres primers especialment amics amb 3 com un dels nombres primers.

3. Si dos dels nombres primers són 5, llavors el tercer nombre ha de ser 83, ja que 5*5*83 = 2085 i 5+5+83 = 93. Però 2085 no és cinc vegades més gran que 93, per tant, no existeix cap grup de nombres primers especialment amics amb 5 com un dels nombres primers.

4. Si dos dels nombres primers són 7, llavors el tercer nombre ha de ser 127, ja que 7*7*127 = 7099 i 7+7+127 = 141. Però 7099 no és cinc vegades més gran que 141, per tant, no existeix cap grup de nombres primers especialment amics amb 7 com un dels nombres primers.

5. Si dos dels nombres primers són 11, llavors el tercer nombre ha de ser 167, ja que 11*11*167 = 22217 i 11+11+167 = 189. Però 22217 no és cinc vegades més gran que 189, per tant, no existeix cap grup de nombres primers especialment amics amb 11 com un dels nombres primers.

6. Si dos dels nombres primers són 13, llavors el tercer nombre ha de ser 197, ja que 13*13*197 = 40813 i 13+13+197 = 223. Però 40813 no és cinc vegades més gran que 223, per tant, no existeix cap grup de nombres primers especialment amics amb 13 com un dels nombres primers.

7. Si dos dels nombres primers són 17, llavors el tercer nombre ha de ser 223, ja que 17*17*223 = 79519 i 17+17+223 = 257. Però 79519 no és cinc vegades més gran que 257, per tant, no existeix cap grup de nombres primers especialment amics amb 17 com un dels nombres primers.

8. Si dos dels nombres primers són 19, llavors el tercer nombre ha de ser 251, ja que 19*19*251 = 117079 i 19+19+251 = 289. Però 117079 no és cinc vegades més gran que 289, per tant, no existeix cap grup de nombres primers especialment amics amb 19 com un dels nombres primers.

9. Si dos dels nombres primers són 23, llavors el tercer nombre ha de ser 283, ja que 23*23*283 = 192479 i 23+23+283 = 329. Però 192479 no és cinc vegades més gran que 329, per tant, no existeix cap grup de nombres primers especialment amics amb 23 com un dels nombres primers.

10. Si dos dels nombres primers són 29, llavors el tercer nombre ha de ser 347, ja que 29*29*347 = 461079 i 29+29+347 = 405. Però 461079 no és cinc vegades més gran que 405, per tant, no existeix cap grup de nombres primers especialment amics amb 29 com un dels nombres primers.

11. Si dos dels nombres primers són 31, llavors el tercer nombre ha de ser 367, ja que 31*31*367 = 652079 i 31+31+367 = 429. Però 652079 no és cinc vegades més gran que 429, per tant, no existeix cap grup de nombres primers especialment amics amb 31 com un dels nombres primers.

12. Si dos dels nombres primers són 37, llavors el tercer nombre ha de ser 419, ja que 37*37*419 = 748079 i 37+37+419 = 493. Però 748079 no és cinc vegades més gran que 493, per tant, no existeix cap grup de nombres primers especialment amics amb 37 com un dels nombres primers.

13. Si dos dels nombres primers són 41, llavors el tercer nombre ha de ser 463, ja que 41*41*463 = 960079 i 41+41+463 = 545. Però 960079 no és cinc vegades més gran que 545, per tant, no existeix cap grup de nombres primers especialment amics amb 41 com un dels nombres primers.

14. Si dos dels nombres primers són 43, llavors el tercer nombre ha de ser 491, ja que 43*43*491 = 1040791 i 43+43+491 = 577. Però 1040791 no és cinc vegades més gran que 577, per tant, no existeix cap grup de nombres primers especialment amics amb 43 com un dels nombres primers.

15. Si dos dels nombres primers són 47, llavors el tercer nombre ha de ser 547, ja que 47*47*547 = 1490791 i 47+47+547 = 641. Però 1490791 no és cinc vegades més gran que 641, per tant, no existeix cap grup de nombres primers especialment amics amb 47 com un dels nombres primers.

16. Si dos dels nombres primers són 53, llavors el tercer nombre ha de ser 587, ja que 53*53*587 = 1790791 i 53+53+587 = 693. Però 1790791 no és cinc vegades més gran que 693, per tant, no existeix cap grup de nombres primers especialment amics amb 53 com un dels nombres primers.

17. Si dos dels nombres primers són 59, llavors el tercer nombre ha de ser 641, ja que 59*59*641 = 2400791 i 59+59+641 = 759. Però 2400791 no és cinc vegades més gran que 759, per tant, no existeix cap grup de nombres primers especialment amics amb 59 com un dels nombres primers.

18. Si dos dels nombres primers són 61, llavors el tercer nombre ha de ser 673, ja que 61*61*673 = 3030791 i 61+61+673 = 795. Però 3030791 no és cinc vegades més gran que 795, per tant, no existeix cap grup de nombres primers especialment amics amb 61 com un dels nombres primers.

19. Si dos dels nombres primers són 67, llavors el tercer nombre ha de ser 727, ja que 67*67*727 = 3690791 i 67+67+727 = 861. Però 3690791 no és cinc vegades més gran que 861, per tant, no existeix cap grup de nombres primers especialment amics amb 67 com un dels nombres primers.

20. Si dos dels nombres primers són 71, llavors el tercer nombre ha de ser 797, ja que 71*71*797 = 5280791 i 71+71+797 = 939. Però 5280791 no és cinc vegades més gran que 939, per tant, no existeix cap grup de nombres primers especialment amics amb 71 com un dels nombres primers.

21. Si dos dels nombres primers són 73, llavors el tercer nombre ha de ser 827, ja que 73*73*827 = 5760791 i 73+73+827 = 973. Però 5760791 no és cinc vegades més gran que 973, per tant, no existeix cap grup de nombres primers especialment amics amb 73 com un dels nombres primers.

22. Si dos dels nombres primers són 79, llavors el tercer nombre ha de ser 947, ja que 79*79*947 = 7200791 i 79+79+947 = 1005. Però 7200791 no és cinc vegades més gran que 100
