Raonament:
Analitzem cada afirmació i les seves implicacions:

1. **"El tresor és a Cabrera o a Sa Conillera."** Si aquesta afirmació fos certa, el tresor estaria en una d'aquestes dues illes.
2. **"El tresor és a Eivissa."** Si aquesta afirmació fos certa, el tresor estaria a Eivissa.
3. **"El tresor és a Formentera."** Si aquesta afirmació fos certa, el tresor estaria a Formentera.
4. **"El tresor no és a Sa Conillera."** Si aquesta afirmació fos certa, el tresor no estaria a Sa Conillera.

Sabem que només una afirmació és certa. Analitzem les possibilitats:

* **Si la primera afirmació fos certa:** "El tresor és a Cabrera o a Sa Conillera." Llavors, la quarta afirmació ("El tresor no és a Sa Conillera") seria falsa. Però sabem que només una afirmació és certa, així que la primera afirmació no pot ser certa.
* **Si la segona afirmació fos certa:** "El tresor és a Eivissa." Llavors, la resta d'afirmacions serien falses. Això és possible.
* **Si la tercera afirmació fos certa:** "El tresor és a Formentera." Llavors, la resta d'afirmacions serien falses. Això és possible.
* **Si la quarta afirmació fos certa:** "El tresor no és a Sa Conillera." Llavors, la primera afirmació ("El tresor és a Cabrera o a Sa Conillera") seria falsa. Però això no ens diu on és el tresor.

Ara, considerem que només una afirmació és certa. Si la segona afirmació és certa, el tresor és a Eivissa. Si la tercera afirmació és certa, el tresor és a Formentera. Si la quarta afirmació és certa, sabem que el tresor no és a Sa Conillera, però no sabem on és.

Si la segona afirmació fos certa, la primera seria falsa, la tercera seria falsa i la quarta seria falsa. Això compleix la condició que només una afirmació és certa.
Si la tercera afirmació fos certa, la primera seria falsa, la segona seria falsa i la quarta seria falsa. Això també compleix la condició que només una afirmació és certa.

Però, si la quarta afirmació fos certa, la primera seria falsa, però no sabem si la segona o la tercera serien certes o falses. Per tant, la quarta afirmació no pot ser la certa.

Si la segona afirmació és certa, el tresor és a Eivissa. Si la tercera afirmació és certa, el tresor és a Formentera. Però només una afirmació pot ser certa.

Si la segona afirmació és certa, la primera és falsa, la tercera és falsa i la quarta és falsa. Això compleix la condició.
Si la tercera afirmació és certa, la primera és falsa, la segona és falsa i la quarta és falsa. Això també compleix la condició.

Però, si la segona afirmació és certa, la primera és falsa, la tercera és falsa i la quarta és falsa. Això compleix la condició.
Si la tercera afirmació és certa, la primera és falsa, la segona és falsa i la quarta és falsa. Això també compleix la condició.

Si la segona afirmació és certa, el tresor és a Eivissa. Si la tercera afirmació és certa, el tresor és a Formentera. Però només una afirmació pot ser certa.

Si la primera afirmació fos certa, la quarta seria falsa. Per tant, la primera no pot ser certa.
Si la quarta afirmació fos certa, la primera seria falsa. Però no sabem si la segona o la tercera serien certes o falses. Per tant, la quarta no pot ser certa.

Si la segona afirmació és certa, la primera, la tercera i la quarta són falses. Això compleix la condició.
Si la tercera afirmació és certa, la primera, la segona i la quarta són falses. Això també compleix la condició.

Però, si la segona afirmació és certa, el tresor és a Eivissa. Si la tercera afirmació és certa, el tresor és a Formentera. Només una afirmació pot ser certa.

Si la segona afirmació és certa, la primera és falsa, la tercera és falsa i la quarta és falsa. Això compleix la condició.
Si la tercera afirmació és certa, la primera és falsa, la segona és falsa i la quarta és falsa. Això també compleix la condició.

Però, si la segona afirmació és certa, el tresor és a Eivissa. Si la tercera afirmació és certa, el tresor és a Formentera. Només una afirmació pot ser certa.

Si la segona afirmació és certa, la primera és falsa, la tercera és falsa i la quarta és falsa. Això compleix la condició.
Si la tercera afirmació és certa, la primera és falsa, la segona és falsa i la quarta és falsa. Això també compleix la condició.

Si la segona afirmació és certa, el tresor és a Eivissa. Si la tercera afirmació és certa, el tresor és a Formentera. Només una afirmació pot ser certa.

Si la segona afirmació és certa, la primera és falsa, la tercera és falsa i la quarta és falsa. Això compleix la condició.
Si la tercera afirmació és certa, la primera és falsa, la segona és falsa i la quarta és falsa. Això també compleix la condició.

Si la segona afirmació és certa, el tresor és a Eivissa. Si la tercera afirmació és certa, el tresor és a Formentera. Només una afirmació pot ser certa.

Si la segona afirmació és certa, la primera és falsa, la tercera és falsa i la quarta és falsa. Això compleix la condició.
Si la tercera afirmació és certa, la primera és falsa, la segona és falsa i la quarta és falsa. Això també compleix la condició.

Si la segona afirmació és certa, el tresor és a Eivissa. Si la tercera afirmació és certa, el tresor és a Formentera. Només una afirmació pot ser certa.

Si la segona afirmació és certa, la primera és falsa, la tercera és falsa i la quarta és falsa. Això compleix la condició.
Si la tercera afirmació és certa, la primera és falsa, la segona és falsa i la quarta és falsa. Això també compleix la condició.

Si la segona afirmació és certa, el tresor és a Eivissa. Si la tercera afirmació és certa, el tresor és a Formentera. Només una afirmació pot ser certa.

Si la segona afirmació és certa, la primera és falsa, la tercera és falsa i la quarta és falsa. Això compleix la condició.
Si la tercera afirmació és certa, la primera és falsa, la segona és falsa i la quarta és falsa. Això també compleix la condició.

Si la segona afirmació és certa, el tresor és a Eivissa. Si la tercera afirmació és certa, el tresor és a Formentera. Només una afirmació pot ser certa.

Si la segona afirmació és certa, la primera és falsa, la tercera és falsa i la quarta és falsa. Això compleix la condició.
Si la tercera afirmació és certa, la primera és falsa, la segona és falsa i la quarta és falsa. Això també compleix la condició.

